name,ratings,num_ratings,processor,ram,os,storage,price,org_price,Brand,num_reviews,ram_type,Discount
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Thin and Light La...,4.3,164.0,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,39990,50990.0,ASUS,23.0,DDR4,21.57285742302412
Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,4.3,2535.0,Intel Core i5 Processor (11th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,52990,76890.0,Lenovo,215.0,DDR4,31.083365847314344
DELL Vostro Pentium Gold - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop,4.7,12.0,Intel Pentium Gold Processor,8,Windows 11 Operating System,256 GB SSD,32590,54392.0,DELL,1.0,DDR4,40.083100455949406
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeo...,4.4,2107.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,49990,72990.0,MSI,282.0,DDR4,31.51116591313879
HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Lap...,4.3,81.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,53990,63325.0,HP,14.0,DDR4,14.741413343861035
HP Victus Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX ...,5.0,5.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,59990,76021.0,HP,1.0,DDR4,21.087594217387302
acer Extensa Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54-583M Thin and Light Laptop,3.9,146.0,Intel Core i5 Processor (11th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,40990,57999.0,acer,7.0,DDR4,29.326367695994758
Infinix INBook X2 Plus Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop,4.0,66.0,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,256 GB SSD,30990,44990.0,Infinix,10.0,LPDDR4X,31.118026228050677
ASUS TUF Gaming F15 (2022) Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.8,25.0,Intel Core i7 Processor (12th Gen),16,64 bit Windows 11 Operating System,1 TB SSD,118990,181990.0,ASUS,5.0,DDR5,34.61728666410242
acer Aspire Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) A315-59 Notebook,4.3,34.0,Intel Core i3 Processor (12th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,39990,54999.0,acer,5.0,DDR4,27.289587083401518
HP 15s Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop,4.1,35.0,Intel Core i3 Processor (12th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,47490,56260.0,HP,8.0,DDR4,15.588339850693211
Lenovo Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN | 81X800LGIN Thin and Lig...,4.3,411.0,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,39990,59890.0,Lenovo,35.0,DDR4,33.22758390382368
ASUS TUF Gaming F17 (2022) with 90Whr Battery Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB ...,4.3,37.0,Intel Core i7 Processor (12th Gen),16,64 bit Windows 11 Operating System,1 TB SSD,109990,165990.0,ASUS,5.0,DDR5,33.73697210675342
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,4.2,149.0,Intel Core i5 Processor (11th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,50990,69990.0,ASUS,15.0,DDR4,27.146735247892558
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,4.4,4478.0,Intel Core i5 Processor (10th Gen),8,Windows 11 Operating System,512 GB SSD,58990,70990.0,ASUS,432.0,DDR4,16.903789266093817
DELL Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5320 Thin and Light Laptop,5.0,4.0,Intel Core i5 Processor (12th Gen),16,64 bit Windows 11 Operating System,512 GB SSD,79890,99498.0,DELL,0.0,DDR5,19.706928782488088
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,,,Intel Core i3 Processor (10th Gen),8,Windows 11 Operating System,256 GB SSD,33990,59390.0,Lenovo,,DDR4,42.76814278498063
ASUS Vivobook 14 (2022) Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) X1402ZA-MW512WS Thin and...,4.8,14.0,Intel Core i5 Processor (12th Gen),16,64 bit Windows 11 Operating System,512 GB SSD,66990,82990.0,ASUS,3.0,DDR4,19.279431256777926
HP Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) 14s-fq0568AU Thin and Light Laptop,4.0,669.0,AMD Athlon Dual Core Processor,8,64 bit Windows 11 Operating System,256 GB SSD,27990,36359.0,HP,69.0,DDR4,23.01768475480624
ASUS Core i3 12th Gen - (8 GB/256 GB SSD/Windows 11 Home) X1402ZA-EK391WS Laptop,3.9,18.0,Intel Core i3 Processor (12th Gen),8,64 bit Windows 11 Operating System,256 GB SSD,44990,54990.0,ASUS,6.0,DDR4,18.18512456810329
ASUS VivoBook Flip 14 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) TP470EA-EC301WS 2 in 1 Lapt...,4.4,124.0,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,256 GB SSD,44990,63990.0,ASUS,10.0,LPDDR4X,29.692139396780746
DELL Inspiron Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 5410 2 in 1 Laptop,4.3,375.0,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,256 GB SSD,54300,68658.0,DELL,35.0,DDR4,20.912348160447436
HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.4,288.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,61990,81869.0,HP,42.0,DDR4,24.281474062221353
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Ho...,4.4,980.0,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,81990,94990.0,ASUS,126.0,DDR4,13.68565112117065
Lenovo IdeaPad Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 16...,4.3,2535.0,Intel Core i5 Processor (11th Gen),8,Windows 11 Operating System,512 GB SSD,54990,83890.0,Lenovo,215.0,DDR4,34.449874836094885
ASUS Vivobook 16X Ryzen 5 Hexa Core R5-5600H - (16 GB/512 GB SSD/Windows 11 Home) M1603QA-MB511WS Lapt...,4.9,7.0,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512 GB SSD,54990,74990.0,ASUS,0.0,DDR4,26.670222696359513
DELL Ryzen 5 Hexa Core AMD R5-5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,4.5,244.0,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512 GB SSD,77490,102522.0,DELL,23.0,DDR4,24.41622285948382
HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop,4.2,1824.0,AMD Ryzen 3 Quad Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,38490,45991.0,HP,198.0,DDR4,16.30971276988976
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Light Lap...,4.4,261.0,Intel Core i5 Processor (12th Gen),16,64 bit Windows 11 Operating System,512 GB SSD,69858,80596.0,HP,18.0,DDR4,13.323241848230683
HP Victus Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 5500M...,,,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,66990,90056.0,HP,,DDR4,25.61295194101448
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,4.4,424.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,58490,76890.0,Lenovo,58.0,DDR4,23.930290024710626
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) EG2035TU/ 15-EG2035TU Thin and...,4.1,76.0,Intel Core i5 Processor (12th Gen),16,64 bit Windows 11 Operating System,512 GB SSD,74990,83710.0,HP,9.0,DDR4,10.416915541751285
DELL Core i5 12th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Lig...,,,Intel Core i5 Processor (12th Gen),8,Windows 11 Operating System,1 TB HDD|256 GB SSD,57990,80473.0,DELL,,DDR4,27.93856324481503
MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/8 GB Gra...,4.5,394.0,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,74990,111990.0,MSI,57.0,DDR4,33.03866416644343
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 G...,4.5,158.0,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 11 Operating System,512 GB SSD,89990,107990.0,ASUS,23.0,DDR4,16.668210019446246
APPLE 2022 MacBook AIR M2 - (16 GB/512 GB SSD/Mac OS Monterey) Z160000ZC,,,Apple M2 Processor,16,Mac OS Operating System,512 GB SSD,150990,159000.0,APPLE,,Unified,5.037735849056603
APPLE 2022 MacBook Pro M2 - (8 GB/512 GB SSD/Mac OS Monterey) MNEJ3HN/A,4.6,20.0,Apple M2 Processor,8,Mac OS Operating System,512 GB SSD,139990,149900.0,APPLE,1.0,Unified,6.611074049366245
HP Pavilion Gaming Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,4.3,328.0,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 11 Operating System,512 GB SSD,74008,92404.0,HP,32.0,DDR4,19.908229080992164
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,4.5,1204.0,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,87990,107990.0,ASUS,157.0,DDR4,18.52023335494027
HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1005AU Thin and Light La...,5.0,3.0,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512 GB SSD,61990,69082.0,HP,1.0,DDR4,10.266060623606728
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A,4.7,8724.0,Apple M1 Processor,8,Mac OS Operating System,256 GB SSD,86990,99900.0,APPLE,783.0,DDR4,12.922922922922922
ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-...,4.4,1186.0,Intel Core i5 Processor (12th Gen),16,64 bit Windows 11 Operating System,512 GB SSD,74990,92990.0,ASUS,164.0,DDR4,19.35692009893537
ASUS VivoBook 15 (2021) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ521WS Thin and L...,4.2,535.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,45990,64990.0,ASUS,55.0,DDR4,29.23526696414833
APPLE 2022 MacBook Pro M2 - (8 GB/256 GB SSD/Mac OS Monterey) MNEP3HN/A,4.7,19.0,Apple M2 Processor,8,Mac OS Operating System,256 GB SSD,121990,129990.0,APPLE,1.0,Unified,6.154319563043311
